      Radius     |       Dichte
  7.0300E-01     |      0.9196434
  7.0400E-01     |      0.9194203
  7.0500E-01     |      0.9191969
  7.0600E-01     |      0.9189733
  7.0700E-01     |      0.9187493
  7.0800E-01     |      0.9185251
  7.0900E-01     |      0.9183005
  7.1000E-01     |      0.9180757
  7.1100E-01     |      0.9178506
  7.1200E-01     |      0.9176253
  7.1300E-01     |      0.9173996
  7.1400E-01     |      0.9171737
  7.1500E-01     |      0.9169474
  7.1600E-01     |      0.9167209
  7.1700E-01     |      0.9164941
  7.1800E-01     |      0.9162671
  7.1900E-01     |      0.9160397
  7.2000E-01     |      0.9158120
  7.2100E-01     |      0.9155841
  7.2200E-01     |      0.9153559
  7.2300E-01     |      0.9151274
  7.2400E-01     |      0.9148986
  7.2500E-01     |      0.9146696
  7.2600E-01     |      0.9144402
  7.2700E-01     |      0.9142106
  7.2800E-01     |      0.9139807
  7.2900E-01     |      0.9137505
  7.3000E-01     |      0.9135200
  7.3100E-01     |      0.9132893
  7.3200E-01     |      0.9130583
  7.3300E-01     |      0.9128269
  7.3400E-01     |      0.9125954
  7.3500E-01     |      0.9123635
  7.3600E-01     |      0.9121313
  7.3700E-01     |      0.9118989
  7.3800E-01     |      0.9116662
  7.3900E-01     |      0.9114332
  7.4000E-01     |      0.9111999
  7.4100E-01     |      0.9109663
  7.4200E-01     |      0.9107325
  7.4300E-01     |      0.9104984
  7.4400E-01     |      0.9102640
  7.4500E-01     |      0.9100293
  7.4600E-01     |      0.9097943
  7.4700E-01     |      0.9095591
  7.4800E-01     |      0.9093236
  7.4900E-01     |      0.9090878
  7.5000E-01     |      0.9088517
  7.5100E-01     |      0.9086153
  7.5200E-01     |      0.9083787
  7.5300E-01     |      0.9081418
  7.5400E-01     |      0.9079046
  7.5500E-01     |      0.9076671
  7.5600E-01     |      0.9074294
  7.5700E-01     |      0.9071913
  7.5800E-01     |      0.9069530
  7.5900E-01     |      0.9067144
  7.6000E-01     |      0.9064756
  7.6100E-01     |      0.9062364
  7.6200E-01     |      0.9059970
  7.6300E-01     |      0.9057573
  7.6400E-01     |      0.9055174
  7.6500E-01     |      0.9052771
  7.6600E-01     |      0.9050366
  7.6700E-01     |      0.9047958
  7.6800E-01     |      0.9045547
  7.6900E-01     |      0.9043134
  7.7000E-01     |      0.9040717
  7.7100E-01     |      0.9038298
  7.7200E-01     |      0.9035877
  7.7300E-01     |      0.9033452
  7.7400E-01     |      0.9031025
  7.7500E-01     |      0.9028595
  7.7600E-01     |      0.9026162
  7.7700E-01     |      0.9023726
  7.7800E-01     |      0.9021288
  7.7900E-01     |      0.9018847
  7.8000E-01     |      0.9016403
  7.8100E-01     |      0.9013956
  7.8200E-01     |      0.9011507
  7.8300E-01     |      0.9009055
  7.8400E-01     |      0.9006600
  7.8500E-01     |      0.9004142
  7.8600E-01     |      0.9001682
  7.8700E-01     |      0.8999219
  7.8800E-01     |      0.8996753
  7.8900E-01     |      0.8994285
  7.9000E-01     |      0.8991814
  7.9100E-01     |      0.8989340
  7.9200E-01     |      0.8986863
  7.9300E-01     |      0.8984383
