      Radius     |       Dichte       |       Masse
  4.1700E-02     |      0.9997102     |   2.4166E-05
  4.1800E-02     |      0.9997088     |   2.4341E-05
  4.1900E-02     |      0.9997074     |   2.4516E-05
  4.2000E-02     |      0.9997060     |   2.4692E-05
  4.2100E-02     |      0.9997046     |   2.4868E-05
  4.2200E-02     |      0.9997032     |   2.5046E-05
  4.2300E-02     |      0.9997018     |   2.5224E-05
  4.2400E-02     |      0.9997004     |   2.5404E-05
  4.2500E-02     |      0.9996990     |   2.5584E-05
  4.2600E-02     |      0.9996976     |   2.5765E-05
  4.2700E-02     |      0.9996961     |   2.5947E-05
  4.2800E-02     |      0.9996947     |   2.6129E-05
  4.2900E-02     |      0.9996933     |   2.6313E-05
  4.3000E-02     |      0.9996919     |   2.6497E-05
  4.3100E-02     |      0.9996904     |   2.6683E-05
  4.3200E-02     |      0.9996890     |   2.6869E-05
  4.3300E-02     |      0.9996875     |   2.7056E-05
  4.3400E-02     |      0.9996861     |   2.7244E-05
  4.3500E-02     |      0.9996847     |   2.7432E-05
  4.3600E-02     |      0.9996832     |   2.7622E-05
  4.3700E-02     |      0.9996817     |   2.7813E-05
  4.3800E-02     |      0.9996803     |   2.8004E-05
  4.3900E-02     |      0.9996788     |   2.8196E-05
  4.4000E-02     |      0.9996774     |   2.8389E-05
  4.4100E-02     |      0.9996759     |   2.8583E-05
  4.4200E-02     |      0.9996744     |   2.8778E-05
  4.4300E-02     |      0.9996729     |   2.8974E-05
  4.4400E-02     |      0.9996715     |   2.9170E-05
  4.4500E-02     |      0.9996700     |   2.9368E-05
  4.4600E-02     |      0.9996685     |   2.9566E-05
  4.4700E-02     |      0.9996670     |   2.9766E-05
  4.4800E-02     |      0.9996655     |   2.9966E-05
  4.4900E-02     |      0.9996640     |   3.0167E-05
  4.5000E-02     |      0.9996625     |   3.0369E-05
  4.5100E-02     |      0.9996610     |   3.0572E-05
  4.5200E-02     |      0.9996595     |   3.0776E-05
  4.5300E-02     |      0.9996580     |   3.0980E-05
  4.5400E-02     |      0.9996565     |   3.1186E-05
  4.5500E-02     |      0.9996550     |   3.1392E-05
  4.5600E-02     |      0.9996535     |   3.1600E-05
  4.5700E-02     |      0.9996520     |   3.1808E-05
  4.5800E-02     |      0.9996504     |   3.2017E-05
  4.5900E-02     |      0.9996489     |   3.2227E-05
  4.6000E-02     |      0.9996474     |   3.2438E-05
  4.6100E-02     |      0.9996458     |   3.2650E-05
  4.6200E-02     |      0.9996443     |   3.2863E-05
  4.6300E-02     |      0.9996428     |   3.3077E-05
  4.6400E-02     |      0.9996412     |   3.3292E-05
  4.6500E-02     |      0.9996397     |   3.3508E-05
  4.6600E-02     |      0.9996381     |   3.3724E-05
  4.6700E-02     |      0.9996366     |   3.3942E-05
  4.6800E-02     |      0.9996350     |   3.4160E-05
  4.6900E-02     |      0.9996334     |   3.4380E-05
  4.7000E-02     |      0.9996319     |   3.4600E-05
  4.7100E-02     |      0.9996303     |   3.4821E-05
  4.7200E-02     |      0.9996287     |   3.5044E-05
  4.7300E-02     |      0.9996272     |   3.5267E-05
  4.7400E-02     |      0.9996256     |   3.5491E-05
  4.7500E-02     |      0.9996240     |   3.5716E-05
  4.7600E-02     |      0.9996224     |   3.5942E-05
  4.7700E-02     |      0.9996208     |   3.6169E-05
  4.7800E-02     |      0.9996192     |   3.6397E-05
  4.7900E-02     |      0.9996176     |   3.6626E-05
  4.8000E-02     |      0.9996160     |   3.6856E-05
  4.8100E-02     |      0.9996144     |   3.7086E-05
  4.8200E-02     |      0.9996128     |   3.7318E-05
  4.8300E-02     |      0.9996112     |   3.7551E-05
  4.8400E-02     |      0.9996096     |   3.7784E-05
  4.8500E-02     |      0.9996080     |   3.8019E-05
  4.8600E-02     |      0.9996064     |   3.8255E-05
  4.8700E-02     |      0.9996048     |   3.8491E-05
  4.8800E-02     |      0.9996031     |   3.8729E-05
  4.8900E-02     |      0.9996015     |   3.8967E-05
  4.9000E-02     |      0.9995999     |   3.9207E-05
  4.9100E-02     |      0.9995982     |   3.9447E-05
  4.9200E-02     |      0.9995966     |   3.9689E-05
  4.9300E-02     |      0.9995950     |   3.9931E-05
  4.9400E-02     |      0.9995933     |   4.0175E-05
  4.9500E-02     |      0.9995917     |   4.0419E-05
  4.9600E-02     |      0.9995900     |   4.0665E-05
  4.9700E-02     |      0.9995884     |   4.0911E-05
  4.9800E-02     |      0.9995867     |   4.1158E-05
  4.9900E-02     |      0.9995850     |   4.1407E-05
  5.0000E-02     |      0.9995834     |   4.1656E-05
  5.0100E-02     |      0.9995817     |   4.1907E-05
  5.0200E-02     |      0.9995800     |   4.2158E-05
  5.0300E-02     |      0.9995784     |   4.2410E-05
  5.0400E-02     |      0.9995767     |   4.2664E-05
  5.0500E-02     |      0.9995750     |   4.2918E-05
  5.0600E-02     |      0.9995733     |   4.3174E-05
  5.0700E-02     |      0.9995716     |   4.3430E-05
  5.0800E-02     |      0.9995699     |   4.3688E-05
  5.0900E-02     |      0.9995683     |   4.3946E-05
  5.1000E-02     |      0.9995666     |   4.4206E-05
  5.1100E-02     |      0.9995649     |   4.4466E-05
  5.1200E-02     |      0.9995632     |   4.4728E-05
  5.1300E-02     |      0.9995614     |   4.4990E-05
  5.1400E-02     |      0.9995597     |   4.5254E-05
